"","Timestamp","Entering.Grade.Level","District","Birth.Month","OLSAT.Verbal.Score","OLSAT.Verbal.Percentile","NNAT.Non.Verbal.Raw.Score","NNAT.Non.Verbal.Percentile","Overall.Score"
"1","4/8/17","1","6","September",28,99,45,99,99
"2","4/10/17","K","22","April",2,98,38,99,99
"3","4/8/17","K","11","December",21,96,43,99,98
"4","4/8/17","K","3","August",25,99,85,99,99
"5","4/8/17","K","26","May",28,99,46,99,99
"6","4/8/17","K","28","July",28,99,38,99,99
"7","4/8/17","2","2","February",28,97,44,99,98
"8","4/8/17","1","3","November",28,99,41,99,99
"9","4/8/17","1","1","January",3,89,42,9,96
"10","4/8/17","2","26","January",28,97,43,99,98
"11","4/8/17","1","2","March",28,99,45,99,99
"12","4/8/17","2","2","November",28,99,47,99,99
"13","4/8/17","1","15","January",26,89,46,99,96
"14","4/8/17","K","25","February",27,99,46,99,99
"15","4/9/17","K","14","May",27,99,45,99,99
"16","4/10/17","K","11","March",32,97,40,99,98
"17","4/10/17","K","20","May",19,87,40,99,96
"18","4/10/17","K","25","May",24,97,36,98,98
"19","4/10/17","K","28","August",13,55,27,90,76
"20","4/10/17","K","3","August",29,99,37,99,99
"21","4/11/17","K","2","July",18,83,38,99,95
"22","4/11/17","K","3","December",23,98,40,99,99
"23","4/12/17","K","28","November",18,88,45,9,96
"24","4/12/17","K","26","July",22,86,41,99,96
"25","4/13/17","K","3","April",23,96,39,99,98
"26","4/13/17","K","32","March",17,79,36,99,94
"28","4/13/17","K","2","October",26,99,35,99,99
"29","4/13/17","K","32","February",26,99,40,99,99
"30","4/16/17","1","3","December",27,99,43,99,99
"31","1/0/00","1","2","January",28,96,46,99,98
"32","4/17/17","K","26","March",24,96,44,99,98
"33","4/17/17","1","21","December",29,99,45,99,99
"34","4/17/17","K","2","September",28,99,42,99,99
"35","4/18/17","1","2","March",29,99,44,99,99
"36","4/19/17","K","24","February",20,87,33,93,90
"37","4/20/17","2","15","December",28,99,88,99,99
"38","4/20/17","K","21","March",25,98,40,99,99
"39","4/21/17","K","26","January",24,99,45,99,98
"40","4/21/17","K","3","April",24,97,40,99,99
"41","4/24/17","K","2","July",24,97,34,98,98
"42","4/24/17","K","28","February",23,95,37,98,97
"43","4/24/17","K","28","July",27,99,38,99,99
"44","4/24/17","K","17","October",22,96,34,99,98
"45","4/24/17","K","2","May",25,99,36,98,99
"46","4/25/17","K","3","March",26,99,45,99,99
"48","4/25/17","K","2","March",28,99,43,99,99
"49","4/25/17","1","26","April",23,81,45,99,95
"50","4/25/17","1","28","May",29,99,48,99,99
"51","4/25/17","2","30","July",29,99,40,99,99
"52","4/25/17","K","2","January",24,96,40,99,98
"53","1/0/00","K","2","September",99,99,99,99,99
"54","4/26/17","K","2","January",25,98,41,99,99
"55","4/26/17","K","31","January",19,81,38,99,95
"56","4/26/17","1","2","May",29,99,44,99,99
"57","4/26/17","3","30","October",90,90,90,90,90
"58","4/27/17","K","2","November",20,90,39,99,96
"59","4/28/17","K","2","March",21,90,39,99,96
"60","4/28/17","2","2","November",28,99,47,99,99
"61","4/29/17","3","3","March",30,99,39,99,99
"62","5/3/17","K","20","December",23,98,37,99,99
"63","5/3/17","K","20","December",23,98,37,99,99
